,,发明 Invention,发明 Invention,发明 Invention,实用新型 Utility Model,实用新型 Utility Model,实用新型 Utility Model
,,小计 Sub-total,国内 Domestic,国外 Foreign,小计 Sub-total,国内 Domestic,国外 Foreign
,分类 Classification,,,,,,
合计 Total,合计 Total,1523789,1372105,151684,2915978,2908602,7376
A部 Section A,A部 Section A,187970,168426,19544,482776,481512,1264
A01,农业；林业；畜牧业；狩猎；诱捕；捕鱼  Agriculture; Forestry; Animal husbandry; Hunting; Trapping; Fishing,34544,33239,1305,89605,89510,95
A01,农业；林业；畜牧业；狩猎；诱捕；捕鱼  Agriculture; Forestry; Animal husbandry; Hunting; Trapping; Fishing,34544,33239,1305,89605,89510,95
A21,焙烤；制作或处理面团的设备；焙烤用面团,1811,1754,57,3817,3816,1
A21,Baking; Equipment for making or processing doughs; Doughs for baking,1811,1754,57,3817,3816,1
A22,屠宰；肉品处理；家禽或鱼的加工,845,814,31,2522,2522,0
A22,Butchering; Meat treatment; Processing poultry or fish,845,814,31,2522,2522,0
A23,其他类不包含的食品或食料；及其处理,21506,20686,820,15850,15843,7
A23,"Foods or foodstuffs; Treatment thereof, not covered by other classes",21506,20686,820,15850,15843,7
A24,烟草；雪茄烟；纸烟；模拟吸烟装置；吸烟者用品,3368,2804,564,4666,4649,17
A24,Tobacco; Cigars; Cigarettes; Simulated smoking devices; Smokers' requisites,3368,2804,564,4666,4649,17
A41,服装,3443,3233,210,20262,20227,35
A41,Wearing apparel,3443,3233,210,20262,20227,35
A42,帽类制品,513,461,52,2527,2526,1
A42,Headwear,513,461,52,2527,2526,1
A43,鞋类,1373,1122,251,6459,6437,22
A43,Footwear,1373,1122,251,6459,6437,22
A44,服饰缝纫用品；珠宝,821,692,129,3506,3496,10
A44,Haberdashery; Jewellery,821,692,129,3506,3496,10
A45,手携物品或旅行品,2259,1924,335,12255,12155,100
A45,Hand or travelling articles,2259,1924,335,12255,12155,100
A46,刷类制品,506,397,109,1990,1986,4
A46,Brushware,506,397,109,1990,1986,4
A47,家具；家庭用的物品或设备；咖啡磨；香料磨；一般吸尘器,20373,18957,1416,100427,100086,341
A47,Furniture; Domestic articles or appliances; Coffee mills; Spice mills; Suction cleaners in general,20373,18957,1416,100427,100086,341
A61,医学或兽医学；卫生学,82856,69518,13338,186789,186268,521
A61,Medical or veterinary science; Hygiene,82856,69518,13338,186789,186268,521
A62,救生；消防,3308,3151,157,9736,9711,25
A62,Life-saving; Fire-fighting,3308,3151,157,9736,9711,25
