,,发明 Invention,发明 Invention,发明 Invention,实用新型 Utility Model,实用新型 Utility Model,实用新型 Utility Model,nan
,,小计 Sub-total,国内 Domestic,国外 Foreign,小计 Sub-total,国内 Domestic,国外 Foreign,nan
,分类 Classification,,,,,,,
合计 Total,合计 Total,530127,440691,89436,2377223,2368651,8572,
A部 Section A,A部 Section A,46210,37591,8619,378949,377545,1404,
A01,农业；林业；畜牧业；狩猎；诱捕；捕鱼,9504,9039,465,71232,71117,115,
A01,Agriculture; Forestry; Animal husbandry; Hunting; Trapping; Fishing,9504,9039,465,71232,71117,115,
A21,焙烤；制作或处理面团的设备；焙烤用面团,275,250,25,3108,3106,2,
A21,Baking; Equipment for making or processing doughs; Doughs for baking,275,250,25,3108,3106,2,
A22,屠宰；肉品处理；家禽或鱼的加工,339,309,30,2116,2116,,
A22,Butchering; Meat treatment; Processing poultry or fish,339,309,30,2116,2116,,
A23,其他类不包含的食品或食料；及其处理,3094,2851,243,13603,13587,16,
A23,"Foods or foodstuffs; Treatment thereof, not covered by other classes",3094,2851,243,13603,13587,16,
A24,烟草；雪茄烟；纸烟；模拟吸烟装置；吸烟者用品,664,443,221,4869,4839,30,
A24,Tobacco; Cigars; Cigarettes; Simulated smoking devices; Smokers' requisites,664,443,221,4869,4839,30,
A41,服装,387,291,96,12371,12343,28,
A41,Wearing apparel,387,291,96,12371,12343,28,
A42,帽类制品,60,35,25,1740,1733,7,
A42,Headwear,60,35,25,1740,1733,7,
A43,鞋类,455,304,151,5551,5522,29,
A43,Footwear,455,304,151,5551,5522,29,
A44,服饰缝纫用品；珠宝,270,160,110,3246,3214,32,
A44,Haberdashery; Jewellery,270,160,110,3246,3214,32,
A45,手携物品或旅行品,494,324,170,11898,11793,105,
A45,Hand or travelling articles,494,324,170,11898,11793,105,
A46,刷类制品,185,107,78,1747,1740,7,
A46,Brushware,185,107,78,1747,1740,7,
A47,家具；家庭用的物品或设备；咖啡磨；香料磨；一般吸尘器,4764,3893,871,87812,87369,443,
A47,Furniture; Domestic articles or appliances; Coffee mills; Spice mills; Suction cleaners in general,4764,3893,871,87812,87369,443,
A61,医学或兽医学；卫生学,22000,16298,5702,132268,131796,472,
A61,Medical or veterinary science; Hygiene,22000,16298,5702,132268,131796,472,
A62,救生；消防,800,733,67,7467,7448,19,
A62,Life-saving; Fire-fighting,800,733,67,7467,7448,19,
A63,运动；游戏；娱乐活动,2919,2554,365,19918,19822,96,
A63,Sports; Games; Amusements,2919,2554,365,19918,19822,96,
A99,本部其他类目中不包括的技术主题,0,0,0,3,0,3,
A99,Subject matter not otherwise provided for in this section,0,0,0,3,0,3,
B部 Section B,B部 Section B,93532,78242,15290,865604,863638,1966,
B01,一般的物理或化学的方法或装置,11245,10158,1087,110197,110073,124,
B01,Physical or chemical processes or apparatus in general,11245,10158,1087,110197,110073,124,
