,,A部 Section A 人类生活必需 Human necessities,B部 Section B 作业、运输 Performing operations; Transporting,C部 Section C 化学、冶金 Chemistry; Metallurgy,D部 Section D 纺织、造纸 Textiles; Paper,E部 Section E  固定建筑物 Fixed constructions,F部 Section F 机械工程；照明；加热；武器；爆破 Mechanical engineering; Lighting; Heating; Weapons; Blasting,G部 Section G 物理 Physics,H部 Section H 电学 Electricity,A----H 合计 Total
,,187970,307704,177501,21548,75849,105272,409971,237974,1523789
,国家和地区 Countries and Regions,,,,,,,,,
安道尔,AD,2,0,0,0,0,2,0,0,4
阿联酋,AE,4,8,7,0,6,3,6,2,36
安提瓜和巴布达,AG,0,0,0,0,0,0,32,53,85
安圭拉,AI,0,1,0,0,6,1,0,2,10
阿根廷,AR,5,0,1,0,0,0,0,1,7
奥地利,AT,94,202,116,30,51,85,126,247,951
澳大利亚,AU,240,112,91,3,56,35,100,81,718
波黑,BA,0,1,0,0,0,0,0,0,1
巴巴多斯,BB,6,24,3,0,0,19,65,87,204
比利时,BE,105,124,180,17,11,78,108,89,712
保加利亚,BG,2,6,1,0,0,1,1,1,12
百慕大,BM,9,0,1,0,0,0,34,9,53
巴西,BR,28,31,19,2,14,4,6,10,114
巴哈马,BS,0,0,1,0,0,0,1,0,2
伯利兹,BZ,0,0,0,0,0,0,1,1,2
加拿大,CA,218,201,133,4,54,71,187,181,1049
刚果（金）,CD,0,1,2,0,0,0,0,0,3
瑞士,CH,1008,619,617,79,62,168,660,480,3693
智利,CL,4,4,6,0,0,4,6,3,27
中国,CN,168426,282526,159489,19962,73565,93806,374683,199648,1372105
哥斯达黎加,CR,0,0,0,0,0,1,0,0,1
古巴,CU,4,0,5,0,0,0,0,0,9
塞浦路斯,CY,7,2,1,0,1,0,2,7,20
捷克,CZ,9,5,8,9,1,8,10,13,63
德国,DE,1316,4122,1734,228,358,2283,2953,3086,16080
丹麦,DK,229,96,174,6,27,248,70,122,972
多米尼加,DO,2,0,0,0,0,0,0,0,2
爱沙尼亚,EE,1,4,1,0,1,0,5,4,16
埃及,EG,0,0,1,0,0,1,1,1,4
西班牙,ES,84,81,68,2,21,48,43,44,391
芬兰,FI,73,170,86,57,16,58,153,357,970
法国,FR,840,1169,646,42,70,614,735,832,4948
英国,GB,563,387,450,19,51,304,664,393,2831
格鲁吉亚,GE,0,0,0,0,0,1,0,0,1
直布罗陀,GI,2,0,0,0,0,0,1,0,3
几内亚,GN,0,1,0,0,0,0,0,0,1
希腊,GR,6,13,3,0,0,1,2,0,25
克罗地亚,HR,2,0,0,0,0,0,1,0,3
匈牙利,HU,8,2,5,0,3,3,7,2,30
印度尼西亚,ID,4,0,0,0,0,0,1,0,5
爱尔兰,IE,133,34,35,2,4,61,93,155,517
以色列,IL,505,118,76,6,12,24,216,94,1051
印度,IN,95,52,89,6,0,17,25,12,296
伊拉克,IQ,0,0,0,0,0,0,0,1,1
伊朗,IR,3,0,2,0,0,0,1,0,6
冰岛,IS,5,2,2,0,0,0,2,1,12
意大利,IT,322,506,166,55,64,209,176,225,1723
泽西岛,JE,0,1,2,0,0,0,0,0,3
约旦,JO,0,0,0,0,0,0,1,0,1
日本,JP,3458,9333,5749,559,495,3849,10296,13662,47401
肯尼亚,KE,0,0,0,0,0,0,1,0,1
柬埔寨,KH,1,0,0,0,0,2,0,0,3
圣基茨和尼维斯,KN,1,0,4,0,0,0,0,0,5
韩国,KR,1415,1553,2002,172,135,798,4129,6430,16634
开曼群岛,KY,71,35,26,7,1,3,2357,771,3271
哈萨克斯坦,KZ,1,0,0,0,1,0,0,0,2
老挝,LA,0,0,0,0,1,0,0,0,1
黎巴嫩,LB,1,0,0,0,0,0,1,0,2
列支敦士登,LI,20,94,17,0,3,18,9,21,182
立陶宛,LT,6,2,1,0,0,0,1,1,11
卢森堡,LU,41,52,60,1,6,12,43,26,241
拉脱维亚,LV,1,1,0,0,0,0,1,0,3
利比亚,LY,1,0,0,0,0,0,0,0,1
摩洛哥,MA,0,1,3,0,0,0,0,0,4
摩纳哥,MC,4,1,3,0,0,1,2,0,11
黑山,ME,0,0,0,0,0,0,0,1,1
北马其顿,MK,0,0,0,0,1,0,0,0,1
马里,ML,0,0,2,0,0,0,0,2,4
马耳他,MT,8,5,2,0,0,1,7,2,25
毛里求斯,MU,3,0,0,0,0,0,0,0,3
墨西哥,MX,11,6,6,0,2,3,1,3,32
马来西亚,MY,23,11,16,2,3,4,12,0,71
荷兰,NL,765,294,522,33,63,123,780,522,3102
挪威,NO,50,72,38,0,21,23,55,28,287
新西兰,NZ,87,15,24,0,6,10,12,13,167
阿曼,OM,0,0,0,0,0,0,0,1,1
巴拿马,PA,1,12,2,0,0,0,0,0,15
秘鲁,PE,1,0,1,0,1,0,0,0,3
菲律宾,PH,0,0,0,0,0,0,1,6,7
巴基斯坦,PK,1,0,0,0,0,0,0,0,1
波兰,PL,28,19,14,0,4,16,7,4,92
波多黎各,PR,1,0,0,0,0,0,0,0,1
巴勒斯坦,PS,0,1,0,0,0,0,0,0,1
葡萄牙,PT,14,9,7,1,0,1,11,6,49
卡塔尔,QA,0,1,0,0,0,1,1,1,4
罗马尼亚,RO,1,1,0,0,0,1,0,0,3
塞尔维亚,RS,3,0,0,0,0,0,0,0,3
俄罗斯,RU,55,21,31,1,12,18,64,32,234
沙特阿拉伯,SA,0,45,115,3,69,29,82,20,363
塞舌尔,SC,8,1,1,0,0,1,4,4,19
瑞典,SE,293,462,112,38,66,306,336,758,2371
新加坡,SG,111,78,94,2,13,27,429,570,1324
斯洛文尼亚,SI,4,3,3,2,2,5,3,7,29
斯洛伐克,SK,0,4,2,1,2,4,1,0,14
圣马力诺,SM,0,0,0,0,0,1,0,0,1
叙利亚,SY,1,1,0,0,0,0,0,0,2
泰国,TH,12,11,23,1,0,2,16,8,73
突尼斯,TN,0,0,0,0,0,0,0,1,1
土耳其,TR,16,13,6,7,4,11,16,15,88
乌克兰,UA,2,2,0,0,1,1,1,1,8
美国,US,7045,4909,4380,188,476,1839,10059,8800,37696
乌拉圭,UY,0,0,1,0,1,0,0,0,2
英属维尔京群岛,VG,21,4,4,0,1,0,44,4,78
越南,VN,2,0,1,1,0,0,0,0,4
萨摩亚,WS,5,0,2,0,0,1,0,9,17
南非,ZA,13,7,6,0,5,3,11,1,46
