,,合计 Total,职务 Service,非职务 Non-service
,,66719,62291,4428
,地区Regions,,,
天津,Tianjin,61423,59150,2273
河北,Hebei,60871,49951,10920
山西,Shanxi,19708,15152,4556
内蒙古,Inner Mongolia,13016,9062,3954
辽宁,Liaoning,43812,37153,6659
吉林,Jilin,16040,13210,2830
黑龙江,Heilongjiang,17448,10292,7156
上海,Shanghai,79949,77233,2716
江苏,Jiangsu,359565,348912,10653
浙江,Zhejiang,208019,193977,14042
安徽,Anhui,77013,70218,6795
福建,Fujian,72761,68019,4742
江西,Jiangxi,43181,38220,4961
山东,Shandong,157654,120245,37409
河南,Henan,96827,84195,12632
湖北,Hubei,79684,73599,6085
湖南,Hunan,46226,40169,6057
广东,Guangdong,353497,308063,45434
广西,Guangxi,23446,18819,4627
海南,Hainan,7295,6531,764
重庆,Chongqing,39762,36724,3038
四川,Sichuan,71850,64821,7029
贵州,Guizhou,25786,16670,9116
云南,Yunnan,23214,20819,2395
西藏,Tibet,963,886,77
陕西,Shaanxi,40703,34704,5999
甘肃,Gansu,15954,11383,4571
青海,Qinghai,3699,2765,934
宁夏,Ningxia,7125,6295,830
新疆,Xinjiang,10553,8372,2181
台湾,Taiwan,5226,3688,1538
香港,Hong Kong,848,636,212
澳门,Macao,52,39,13
广州,Guangzhou,76020,52077,23943
长春,Changchun,11532,10275,1257
武汉,Wuhan,39910,37749,2161
南京,Nanjing,48240,46396,1844
杭州,Hangzhou,49983,47309,2674
西安,Xi'an,30525,27014,3511
济南,Jinan,28308,23644,4664
沈阳,Shenyang,15046,12746,2300
成都,Chengdu,39836,37011,2825
大连,Dalian,12433,11409,1024
厦门,Xiamen,17452,16839,613
哈尔滨,Harbin,8285,5937,2348
深圳,Shenzhen,113047,105887,7160
青岛,Qingdao,35665,32778,2887
宁波,Ningbo,29558,27533,2025
新疆兵团,Xinjiang Bingtuan,1269,1039,230
