,,申请量 Application Number,注册量 Registration Number,nan
,,2876048,2226441,nan
,nan,,,
合计 Total,2016,3691365,2254945,
合计 Total,2017,5748175,2792072,
合计 Total,2018,7370709,5007395,
合计 Total,2019,7837441,6405840,
合计 Total,2020,9347568,5760652,
国内 Domestic,1979-2014,13883975,8789541,
国内 Domestic,2015,2699156,2077037,
国内 Domestic,2016,3526827,2119032,
国内 Domestic,2017,5538980,2656039,
国内 Domestic,2018,7127032,4796851,
国内 Domestic,2019,7582356,6177791,
国内 Domestic,2020,9116454,5576545,
国外 Foreign,1979-2014,1642720,1237921,
国外 Foreign,2015,176892,149404,
国外 Foreign,2016,164538,135913,
国外 Foreign,2017,209195,136033,
国外 Foreign,2018,243677,210544,
国外 Foreign,2019,255085,228049,
国外 Foreign,2020,231114,184107,
