,,2019年,2020年,nan
,,323,319,nan
,地区Regions,,,
天津,Tianjin,48,30,
河北,Hebei,221,384,
山西,Shanxi,10,13,
内蒙古,Inner Mongolia,32,35,
辽宁,Liaoning,23,20,
吉林,Jilin,9,7,
黑龙江,Heilongjiang,18,9,
上海,Shanghai,340,382,
江苏,Jiangsu,891,1485,
浙江,Zhejiang,712,740,
安徽,Anhui,230,392,
福建,Fujian,306,371,
江西,Jiangxi,54,41,
山东,Shandong,836,956,
河南,Henan,34,43,
湖北,Hubei,65,63,
湖南,Hunan,606,475,
广东,Guangdong,1413,1448,
广西,Guangxi,42,34,
海南,Hainan,4,3,
重庆,Chongqing,67,84,
四川,Sichuan,93,107,
贵州,Guizhou,27,9,
云南,Yunnan,9,14,
西藏,Tibet,3,13,
陕西,Shaanxi,36,29,
甘肃,Gansu,3,5,
青海,Qinghai,0,0,
宁夏,Ningxia,0,1,
新疆,Xinjiang,6,12,
台湾,Taiwan,27,26,
其他,Other,3,3,
广州,Guangzhou,315,275,
长春,Changchun,5,5,
武汉,Wuhan,39,35,
南京,Nanjing,307,549,
杭州,Hangzhou,169,163,
西安,Xi'an,23,18,
济南,Jinan,162,197,
沈阳,Shenyang,1,7,
成都,Chengdu,69,55,
大连,Dalian,7,8,
厦门,Xiamen,65,84,
哈尔滨,Harbin,7,6,
深圳,Shenzhen,638,745,
青岛,Qingdao,98,107,
宁波,Ningbo,103,117,
"注：本表统计我局收到的马德里商标国际注册申请情况。香港、澳门不是马德里体系缔约方，如香港、澳门申请人在网上提交马德里申请，将不予受理，在本表中划入“其他”统计项名下。 Note: Statistics in the table refer to the number of trademark applications via the Madrid System received at the CNIPA. Neither Hong Kong nor Macao is the contracting member of the Madrid System. Hence, if applicants from Hong Kong or Macao filed applications via the Madrid System on line, the number of such applications will not be counted and listed under the name of Hong Kong or Macao, but under the name of ""Other"".","注：本表统计我局收到的马德里商标国际注册申请情况。香港、澳门不是马德里体系缔约方，如香港、澳门申请人在网上提交马德里申请，将不予受理，在本表中划入“其他”统计项名下。 Note: Statistics in the table refer to the number of trademark applications via the Madrid System received at the CNIPA. Neither Hong Kong nor Macao is the contracting member of the Madrid System. Hence, if applicants from Hong Kong or Macao filed applications via the Madrid System on line, the number of such applications will not be counted and listed under the name of Hong Kong or Macao, but under the name of ""Other"".","注：本表统计我局收到的马德里商标国际注册申请情况。香港、澳门不是马德里体系缔约方，如香港、澳门申请人在网上提交马德里申请，将不予受理，在本表中划入“其他”统计项名下。 Note: Statistics in the table refer to the number of trademark applications via the Madrid System received at the CNIPA. Neither Hong Kong nor Macao is the contracting member of the Madrid System. Hence, if applicants from Hong Kong or Macao filed applications via the Madrid System on line, the number of such applications will not be counted and listed under the name of Hong Kong or Macao, but under the name of ""Other"".","注：本表统计我局收到的马德里商标国际注册申请情况。香港、澳门不是马德里体系缔约方，如香港、澳门申请人在网上提交马德里申请，将不予受理，在本表中划入“其他”统计项名下。 Note: Statistics in the table refer to the number of trademark applications via the Madrid System received at the CNIPA. Neither Hong Kong nor Macao is the contracting member of the Madrid System. Hence, if applicants from Hong Kong or Macao filed applications via the Madrid System on line, the number of such applications will not be counted and listed under the name of Hong Kong or Macao, but under the name of ""Other"".",
