,,Invention,Invention,Invention,Utility Model,Utility Model,Utility Model,nan
,,Sub-total,Domestic,Foreign,Sub-total,Domestic,Foreign,nan
,分类Classification,,,,,,,
合计 Total,合计 Total,695946,585910,110036,3119990,3112795,7195,
A部 Section A,A部 Section A,68839,55743,13096,505796,504577,1219,
A01,农业；林业；畜牧业；狩猎；诱捕；捕鱼,15219,14313,906,91275,91192,83,
A01,Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing,15219,14313,906,91275,91192,83,
A21,焙烤；制作或处理面团的设备；焙烤用面团,520,483,37,4170,4170,0,
A21,Baking; Equipment For Making Or Processing Doughs; Doughs For Baking,520,483,37,4170,4170,0,
A22,屠宰；肉品处理；家禽或鱼的加工,460,410,50,2921,2921,0,
A22,Butchering; Meat Treatment; Processing Poultry Or Fish,460,410,50,2921,2921,0,
A23,其他类不包含的食品或食料；及其处理,3843,3532,311,16720,16714,6,
A23,"Foods Or Foodstuffs; Treatment Thereof, Not Covered By Other Classes",3843,3532,311,16720,16714,6,
A24,烟草；雪茄烟；纸烟；模拟吸烟装置；吸烟者用品,1181,839,342,5778,5761,17,
A24,Tobacco; Cigars; Cigarettes; Simulated Smoking Devices; Smokers Requisites,1181,839,342,5778,5761,17,
A41,服装,499,388,111,20452,20415,37,
A41,Wearing Apparel,499,388,111,20452,20415,37,
A42,帽类制品,104,64,40,2626,2623,3,
A42,Headwear,104,64,40,2626,2623,3,
A43,鞋类,772,415,357,6841,6820,21,
A43,Footwear,772,415,357,6841,6820,21,
A44,服饰缝纫用品；珠宝,385,258,127,3867,3861,6,
A44,Haberdashery; Jewellery,385,258,127,3867,3861,6,
A45,手携物品或旅行品,602,369,233,12232,12139,93,
A45,Hand Or Travelling Articles,602,369,233,12232,12139,93,
A46,刷类制品,198,106,92,2010,2002,8,
A46,Brushware,198,106,92,2010,2002,8,
A47,家具；家庭用的物品或设备；咖啡磨；香料磨；一般吸尘器,7376,6147,1229,101733,101399,334,
A47,Furniture; Domestic Articles Or Appliances; Coffee Mills; Spice Mills; Suction Cleaners In General,7376,6147,1229,101733,101399,334,
A61,医学或兽医学；卫生学,32505,23914,8591,201151,200645,506,
A61,Medical Or Veterinary Science; Hygiene,32505,23914,8591,201151,200645,506,
A62,救生；消防,1614,1430,184,9836,9814,22,
A62,Life-Saving; Fire-Fighting,1614,1430,184,9836,9814,22,
A63,运动；游戏；娱乐活动,3561,3075,486,24183,24101,82,
A63,Sports; Games; Amusements,3561,3075,486,24183,24101,82,
A99,本部其他类目中不包括的技术主题,0,0,0,1,0,1,
A99,Subject Matter Not Otherwise Provided For In This Section,0,0,0,1,0,1,
B部 Section B,B部 Section B,126150,106656,19494,1181181,1179503,1678,
B01,一般的物理或化学的方法或装置,16582,14869,1713,153599,153484,115,
B01,Physical Or Chemical Processes Or Apparatus In General,16582,14869,1713,153599,153484,115,
B02,破碎、磨粉或粉碎；谷物碾磨的预处理,2703,2606,97,36133,36122,11,
B02,"Crushing, Pulverising, Or Disintegrating; Preparatory Treatment Of Grain For Milling",2703,2606,97,36133,36122,11,
B03,用液体或用风力摇床或风力跳汰机分离固体物料；从固体物料或流体中分离固体物料的磁或静电分离；高压电场分离,843,790,53,5325,5321,4,
B03,Separation Of Solid Materials Using Liquids Or Using Pneumatic Tables Or Jigs; Magnetic Or Electrostatic Separation Of Solid Materials From Solid Materials Or Fluids; Separation By High-Voltage Electric Fields,843,790,53,5325,5321,4,
B04,用于实现物理或化学工艺过程的离心装置或离心机,207,170,37,3251,3249,2,
B04,Centrifugal Apparatus Or Machines For Carrying-Out Physical Or Chemical Processes,207,170,37,3251,3249,2,
B05,一般喷射或雾化；对表面涂覆流体的一般方法,3882,3389,493,33587,33555,32,
B05,"Spraying Or Atomising In General; Applying Fluent Materials To Surfaces, In General",3882,3389,493,33587,33555,32,
B06,一般机械振动的发生或传递,186,113,73,271,267,4,
B06,Generating Or Transmitting Mechanical Vibrations In General,186,113,73,271,267,4,
B07,将固体从固体中分离；分选,1980,1924,56,27183,27176,7,
B07,Separating Solids From Solids; Sorting,1980,1924,56,27183,27176,7,
B08,清洁,3069,2986,83,41468,41450,18,
B08,Cleaning,3069,2986,83,41468,41450,18,
B09,固体废物的处理；被污染土壤的再生,1403,1367,36,4977,4971,6,
B09,Disposal Of Solid Waste; Reclamation Of Contaminated Soil,1403,1367,36,4977,4971,6,
B21,基本上无切削的金属机械加工；金属冲压,4502,4129,373,56514,56482,32,
B21,Mechanical Metal-Working Without Essentially Removing Material; Punching Metal,4502,4129,373,56514,56482,32,
B22,铸造；粉末冶金,4007,3549,458,15976,15962,14,
B22,Casting; Powder Metallurgy,4007,3549,458,15976,15962,14,
B23,机床；其他类目中不包括的金属加工,14261,12928,1333,127116,127050,66,
B23,Machine Tools; Metal-Working Not Otherwise Provided For,14261,12928,1333,127116,127050,66,
B24,磨削；抛光,4440,4108,332,43773,43753,20,
B24,Grinding; Polishing,4440,4108,332,43773,43753,20,
B25,手动工具；轻便机动工具；手动器械的手柄；车间设备；机械手,6003,5394,609,52594,52506,88,
B25,Hand Tools; Portable Power-Driven Tools; Handles For Hand Implements; Workshop Equipment; Manipulators,6003,5394,609,52594,52506,88,
B26,手动切割工具；切割；切断,1922,1730,192,29704,29667,37,
B26,Hand Cutting Tools; Cutting; Severing,1922,1730,192,29704,29667,37,
B27,木材或类似材料的加工或保存；一般钉钉机或钉U形钉机,1512,1446,66,9941,9938,3,
B27,Working Or Preserving Wood Or Similar Material; Nailing Or Stapling Machines In General,1512,1446,66,9941,9938,3,
B28,加工水泥、黏土或石料,2416,2320,96,26783,26776,7,
