,,A部 Section A 人类生活必需 Human necessities,B部 Section B 作业、运输 Performing  operations; Transporting,C部 Section C 化学、冶金 Chemistry; Metallurgy,D部 Section D 纺织、造纸 Textiles;  Paper,E部 Section E  固定建筑物 Fixed constructions,F部 Section F 机械工程；照明；加热；武器；爆破 Mechanical engineering; Lighting; Heating; Weapons; Blasting,G部 Section G 物理 Physics,H部 Section H 电学 Electricity,A----H 合计 Total
,,188916,314392,195062,22136,74611,103406,464745,255691,1618959
,国家和地区 Countries and Regions,,,,,,,,,
阿联酋,AE,8,5,7,0,5,1,2,0,28
安提瓜和巴布达,AG,1,0,0,0,0,0,15,32,48
安圭拉,AI,0,3,0,0,5,1,0,2,11
安哥拉,AO,0,0,0,0,0,0,1,0,1
阿根廷,AR,2,2,0,0,0,1,0,0,5
奥地利,AT,141,240,136,24,52,112,128,236,1069
澳大利亚,AU,292,90,118,3,38,27,112,64,744
巴巴多斯,BB,10,40,2,0,3,10,95,69,229
比利时,BE,187,129,178,11,27,50,96,115,793
保加利亚,BG,2,0,0,0,0,2,1,6,11
百慕大,BM,21,1,0,0,0,0,31,17,70
巴西,BR,29,27,33,5,11,14,78,56,253
巴哈马,BS,0,2,0,0,0,0,0,0,2
伯利兹,BZ,0,1,0,0,0,0,0,0,1
加拿大,CA,255,191,192,2,50,68,253,201,1212
刚果（金）,CD,0,0,0,0,0,0,1,0,1
瑞士,CH,1423,725,650,34,56,189,862,571,4510
库克群岛,CK,1,0,0,0,0,0,0,0,1
智利,CL,4,5,8,0,2,0,3,2,24
中国,CN,160373,288706,176848,20660,72501,92530,429498,217166,1458282
哥伦比亚,CO,8,0,1,0,0,1,0,0,10
哥斯达黎加,CR,7,0,0,0,0,0,1,0,8
古巴,CU,6,0,0,0,0,0,0,0,6
塞浦路斯,CY,5,1,2,0,1,0,6,5,20
捷克,CZ,13,3,7,0,1,10,4,11,49
德国,DE,2210,4092,1714,213,336,2094,3065,3148,16872
丹麦,DK,301,105,203,8,19,271,96,153,1156
多米尼加,DO,0,0,1,0,0,0,0,0,1
爱沙尼亚,EE,2,0,1,1,1,0,3,1,9
埃及,EG,0,0,0,0,0,1,0,0,1
西班牙,ES,121,127,65,11,17,59,50,41,491
芬兰,FI,83,217,102,59,16,35,137,457,1106
法国,FR,1143,1073,647,41,55,603,755,763,5080
英国,GB,808,383,415,24,37,267,571,435,2940
直布罗陀,GI,1,0,0,0,0,0,0,0,1
希腊,GR,14,16,5,1,1,0,4,1,42
克罗地亚,HR,2,0,0,1,0,0,1,1,5
匈牙利,HU,17,4,8,0,1,3,7,3,43
印度尼西亚,ID,1,1,3,0,0,0,1,0,6
爱尔兰,IE,174,29,59,0,1,46,67,132,508
以色列,IL,559,118,71,4,13,29,267,143,1204
马恩岛,IM,0,0,0,0,1,0,1,0,2
印度,IN,88,54,89,10,2,32,23,39,337
伊朗,IR,2,0,0,0,0,0,0,0,2
冰岛,IS,5,5,3,0,0,0,0,0,13
意大利,IT,475,528,215,57,70,220,206,196,1967
约旦,JO,0,1,0,0,0,0,0,0,1
