,,A部  Section A 人类生活必需 Human necessities,B部 Section B  作业、运输 Performing operations; Transporting,C部 Section C  化学、冶金 Chemistry; Metallurgy,D部  Section D  纺织、造纸 Textiles; Paper,E部  Section E  固定建筑物 Fixed constructions,F部  Section F  机械工程；照明；加热；武器；爆破 Mechanical engineering; Lighting; Heating; Weapons; Blasting,G部  Section G  物 理 Physics,H部  Section H  电 学 Electricity,A----H 合 计 Total
,,68839,126150,99615,10191,27964,41001,177368,144818,695946
,国家和地区 Countries and Regions,,,,,,,,,
安道尔,AD,1,0,0,0,0,1,0,0,2
阿联酋,AE,1,4,4,0,1,1,1,0,12
安提瓜和巴布达,AG,0,0,0,0,0,0,0,3,3
安圭拉,AI,0,0,0,0,0,1,0,2,3
阿根廷,AR,4,1,0,0,0,0,0,2,7
奥地利,AT,92,180,100,11,58,106,78,122,747
澳大利亚,AU,137,60,46,0,38,22,45,45,393
巴巴多斯,BB,4,18,0,0,0,22,27,42,113
比利时,BE,69,105,145,22,9,61,70,60,541
保加利亚,BG,0,1,1,0,1,1,0,3,7
布隆迪,BI,0,0,0,0,1,0,0,0,1
百慕大,BM,12,0,0,0,0,0,26,61,99
巴西,BR,10,16,14,0,2,12,8,5,67
巴哈马,BS,0,0,0,0,0,0,1,0,1
白俄罗斯,BY,0,3,1,0,0,1,0,0,5
加拿大,CA,125,115,77,2,44,68,104,152,687
瑞士,CH,691,589,473,37,47,167,586,366,2956
智利,CL,4,4,7,0,1,1,1,1,19
喀麦隆,CM,0,0,0,0,0,0,0,1,1
中国,CN,55743,106656,86663,8927,25926,29893,155518,116584,585910
哥伦比亚,CO,0,0,0,0,0,1,2,1,4
哥斯达黎加,CR,2,0,0,0,0,0,0,0,2
古巴,CU,1,0,2,0,0,0,0,0,3
塞浦路斯,CY,1,1,1,1,0,0,5,4,13
捷克,CZ,13,8,4,6,0,5,12,4,52
德国,DE,1128,3053,1166,209,364,2072,1607,2159,11758
丹麦,DK,162,100,116,3,16,214,43,168,822
多米尼加,DO,1,0,0,0,0,0,0,0,1
爱沙尼亚,EE,0,1,0,0,0,0,1,1,3
埃及,EG,0,0,0,0,0,1,1,1,3
西班牙,ES,52,69,40,3,29,35,23,31,282
芬兰,FI,51,156,62,46,16,54,84,253,722
法国,FR,494,852,470,33,64,478,490,609,3490
英国,GB,349,301,256,16,31,190,329,378,1850
直布罗陀,GI,0,0,0,0,0,0,1,0,1
希腊,GR,2,13,3,0,0,0,1,0,19
克罗地亚,HR,0,1,0,0,0,1,0,0,2
匈牙利,HU,9,3,5,0,7,2,5,1,32
印度尼西亚,ID,1,0,0,0,0,0,0,0,1
爱尔兰,IE,54,27,28,0,4,40,55,113,321
以色列,IL,297,90,43,5,5,13,109,83,645
马恩岛,IM,0,0,0,0,0,0,1,0,1
印度,IN,36,25,28,3,5,16,26,17,156
伊朗,IR,2,0,0,0,0,0,0,1,3
冰岛,IS,3,2,0,0,0,1,0,0,6
意大利,IT,239,460,145,50,61,216,140,146,1457
日本,JP,2644,7100,4420,420,442,3655,6697,9475,34853
柬埔寨,KH,1,0,0,0,0,0,0,0,1
韩国,KR,788,1060,1376,151,133,843,2665,4070,11086
开曼群岛,KY,23,12,23,0,2,7,1314,759,2140
哈萨克斯坦,KZ,0,0,0,0,1,0,1,0,2
列支敦士登,LI,18,77,5,0,2,16,8,11,137
斯里兰卡,LK,0,1,0,0,0,0,0,0,1
立陶宛,LT,0,4,4,0,0,0,0,1,9
卢森堡,LU,26,47,47,0,7,15,26,17,185
拉脱维亚,LV,2,1,0,0,0,1,0,0,4
摩洛哥,MA,0,0,1,0,0,0,0,0,1
摩纳哥,MC,2,1,1,0,0,0,0,0,4
摩尔多瓦,MD,0,0,0,0,2,0,0,0,2
马里,ML,2,0,0,0,0,0,0,2,4
马耳他,MT,2,2,0,0,0,0,2,2,8
毛里求斯,MU,1,0,0,0,0,0,0,0,1
墨西哥,MX,8,8,10,0,1,1,0,0,28
马来西亚,MY,10,3,11,0,0,3,3,0,30
尼日尔,NE,0,0,0,0,1,0,0,0,1
荷兰,NL,587,258,436,28,46,105,515,368,2343
挪威,NO,33,40,22,2,21,28,34,19,199
新西兰,NZ,65,8,10,0,9,6,4,7,109
阿曼,OM,0,1,0,0,0,0,0,0,1
秘鲁,PE,1,0,0,0,0,1,0,0,2
菲律宾,PH,0,0,0,0,0,0,0,4,4
巴基斯坦,PK,1,0,0,0,0,0,0,0,1
波兰,PL,17,12,10,0,1,9,6,6,61
波多黎各,PR,1,0,0,0,0,0,0,0,1
葡萄牙,PT,16,7,3,0,0,1,5,4,36
卡塔尔,QA,0,0,0,0,0,0,1,0,1
罗马尼亚,RO,0,3,0,0,0,0,0,0,3
塞尔维亚,RS,0,0,0,0,0,0,0,1,1
俄罗斯,RU,13,12,29,1,3,8,29,8,103
沙特阿拉伯,SA,1,19,60,0,36,8,33,2,159
塞舌尔,SC,1,0,0,0,0,1,1,3,6
瑞典,SE,226,370,76,52,58,278,188,862,2110
新加坡,SG,60,51,56,1,17,27,357,435,1004
斯洛文尼亚,SI,1,1,2,0,1,2,0,5,12
斯洛伐克,SK,2,1,2,0,0,5,0,0,10
圣马力诺,SM,0,0,0,0,0,0,0,1,1
泰国,TH,6,9,16,0,1,3,9,10,54
土耳其,TR,7,6,3,11,1,5,6,6,45
乌克兰,UA,3,1,0,0,1,1,0,1,7
美国,US,4451,4109,3076,151,444,2269,6041,7302,27843
乌拉圭,UY,0,2,0,0,0,0,1,0,3
英属维尔京群岛,VG,13,3,7,0,2,1,16,13,55
越南,VN,0,0,0,0,0,1,0,0,1
萨摩亚,WS,4,1,2,0,0,0,3,3,13
南非,ZA,12,6,7,0,2,5,3,2,37
其他,Others,1,0,0,0,0,0,0,0,1
