,,合计  Total,职务  Service,非职务  Non-service
,,155467,153283,2184
,地区Regions,,,
天津,Tianjin,17794,17188,606
河北,Hebei,19689,18126,1563
山西,Shanxi,8570,7899,671
内蒙古,Inner Mongolia,4936,4423,513
辽宁,Liaoning,20452,19335,1117
吉林,Jilin,11162,10578,584
黑龙江,Heilongjiang,10166,9169,997
上海,Shanghai,82841,81574,1267
江苏,Jiangsu,155612,152405,3207
浙江,Zhejiang,105950,101737,4213
安徽,Anhui,53606,51167,2439
福建,Fujian,26309,25049,1260
江西,Jiangxi,15883,14621,1262
山东,Shandong,69549,65462,4087
河南,Henan,29688,26957,2731
湖北,Hubei,46433,45228,1205
湖南,Hunan,31460,30058,1402
广东,Guangdong,212228,208090,4138
广西,Guangxi,11551,10687,864
海南,Hainan,3889,3710,179
重庆,Chongqing,21122,20378,744
四川,Sichuan,38121,36431,1690
贵州,Guizhou,8449,7692,757
云南,Yunnan,8940,8219,721
西藏,Tibet,432,392,40
陕西,Shaanxi,35310,34010,1300
甘肃,Gansu,5360,4842,518
青海,Qinghai,1433,1335,98
宁夏,Ningxia,2587,2453,134
新疆,Xinjiang,3655,3371,284
台湾,Taiwan,11135,10367,768
香港,Hong Kong,1059,948,111
澳门,Macao,142,123,19
广州,Guangzhou,50804,49492,1312
长春,Changchun,9617,9344,273
武汉,Wuhan,35817,35323,494
南京,Nanjing,41049,40381,668
杭州,Hangzhou,50401,49510,891
西安,Xi'an,31877,31046,831
济南,Jinan,17959,17346,613
沈阳,Shenyang,8457,8087,370
成都,Chengdu,27648,26848,800
大连,Dalian,7390,7127,263
厦门,Xiamen,8861,8592,269
哈尔滨,Harbin,7748,7260,488
深圳,Shenzhen,91921,90741,1180
青岛,Qingdao,22738,22218,520
宁波,Ningbo,14426,13943,483
新疆兵团,Xinjiang Bingtuan,632,597,35
