,,申请量 Application Number,注册量 Registration Number
,,3691365,2254945
,nan,,
合计 Total,2017,5748175,2792072
合计 Total,2018,7370709,5007395
合计 Total,2019,7837441,6405840
合计 Total,2020,9347568,5760652
合计 Total,2021,9450507,7738947
国内 Domestic,1979-2015,16583131,10866578
国内 Domestic,2016,3526827,2119032
国内 Domestic,2017,5538980,2656039
国内 Domestic,2018,7127032,4796851
国内 Domestic,2019,7582356,6177791
国内 Domestic,2020,9116454,5576545
国内 Domestic,2021,9192675,7545358
国外 Foreign,1979-2015,1819612,1387325
国外 Foreign,2016,164538,135913
国外 Foreign,2017,209195,136033
国外 Foreign,2018,243677,210544
国外 Foreign,2019,255085,228049
国外 Foreign,2020,231114,184107
国外 Foreign,2021,257832,193589
