,,2020年,2021年,2020年,2021年,2020年,2021年
,,4,10,0,4,79,78
,地区  Regions,,,,,,
阿联酋,AE,565,694,388,404,4249,4435
阿富汗,AF,68,166,48,90,383,395
安提瓜和巴布达,AG,21,20,9,17,56,68
安圭拉,AI,59,50,53,67,778,810
阿尔巴尼亚,AL,7,13,2,8,22,29
亚美尼亚,AM,28,33,25,24,185,212
安哥拉,AO,6,3,0,5,42,45
阿根廷,AR,198,227,147,185,1547,1654
奥地利,AT,1432,1785,1243,1001,13828,14346
澳大利亚,AU,8248,7308,6400,6319,44117,49063
阿鲁巴,AW,0,0,0,0,1,1
阿塞拜疆,AZ,30,18,33,15,308,298
波黑,BA,9,8,0,5,15,21
巴巴多斯,BB,51,121,53,83,1022,898
孟加拉国,BD,23,22,24,7,164,164
比利时,BE,1403,1517,1019,1199,13155,14091
布基纳法索,BF,4,3,3,3,17,19
保加利亚,BG,167,190,198,123,1705,1754
巴林,BH,13,5,7,4,121,124
布隆迪,BI,0,0,1,0,16,16
贝宁,BJ,1,5,0,3,25,26
百慕大,BM,261,349,205,260,2131,2397
文莱,BN,28,4,15,18,246,250
玻利维亚,BO,5,3,3,6,53,58
巴西,BR,542,516,393,406,4159,4419
巴哈马,BS,64,30,74,69,1001,981
博茨瓦纳,BW,0,0,0,0,92,92
白俄罗斯,BY,188,189,135,124,988,1081
伯利兹,BZ,43,18,40,20,605,568
加拿大,CA,4131,4721,3852,3727,23215,26324
刚果（金）,CD,3,0,2,0,20,20
刚果（布）,CG,0,2,3,0,7,7
瑞士,CH,7680,8602,6163,5842,76264,79015
科特迪瓦,CI,1,2,2,1,42,42
库克群岛,CK,23,61,25,17,289,305
智利,CL,477,557,316,397,2958,3308
喀麦隆,CM,13,9,128,51,162,213
哥伦比亚,CO,138,188,76,101,981,1054
哥斯达黎加,CR,9,24,18,7,104,109
古巴,CU,23,9,12,8,201,179
佛得角,CV,2,0,1,0,1,1
库拉索,CW,6,8,5,0,255,243
塞浦路斯,CY,467,427,353,318,3713,3594
捷克,CZ,361,418,404,257,4192,4311
德国,DE,16814,17697,14106,13201,178787,185628
吉布提,DJ,5,0,0,2,4,6
丹麦,DK,2097,2407,1373,1791,16580,17905
多米尼克,DM,1,4,1,0,20,19
多米尼加,DO,43,38,43,31,176,205
阿尔及利亚,DZ,69,21,30,43,228,264
厄瓜多尔,EC,63,38,17,38,200,238
爱沙尼亚,EE,147,158,91,111,660,748
埃及,EG,157,167,91,120,826,923
