,,2020年,2021年
,,319,299
,地区Regions,,
天津,Tianjin,30,41
河北,Hebei,384,198
山西,Shanxi,13,7
内蒙古,Inner Mongolia,35,17
辽宁,Liaoning,20,13
吉林,Jilin,7,9
黑龙江,Heilongjiang,9,10
上海,Shanghai,382,424
江苏,Jiangsu,1485,890
浙江,Zhejiang,740,803
安徽,Anhui,392,277
福建,Fujian,371,377
江西,Jiangxi,41,74
山东,Shandong,956,408
河南,Henan,43,35
湖北,Hubei,63,80
湖南,Hunan,475,142
广东,Guangdong,1448,1513
广西,Guangxi,34,32
海南,Hainan,3,7
重庆,Chongqing,84,76
四川,Sichuan,107,78
贵州,Guizhou,9,15
云南,Yunnan,14,16
西藏,Tibet,13,21
陕西,Shaanxi,29,24
甘肃,Gansu,5,3
青海,Qinghai,0,1
宁夏,Ningxia,1,7
新疆,Xinjiang,12,9
台湾,Taiwan,26,20
其他,Others,3,2
广州,Guangzhou,275,266
长春,Changchun,5,8
武汉,Wuhan,35,49
南京,Nanjing,549,91
杭州,Hangzhou,163,177
西安,Xi'an,18,23
济南,Jinan,197,101
沈阳,Shenyang,7,5
成都,Chengdu,55,46
大连,Dalian,8,3
厦门,Xiamen,84,80
哈尔滨,Harbin,6,6
深圳,Shenzhen,745,818
青岛,Qingdao,107,36
宁波,Ningbo,117,115
"注：本表统计我局收到的中国申请人马德里商标国际注册申请情况。中国香港、澳门不是马德里体系缔约方，如香港、澳门申请人在网上提交马德里申请，将不予受理，在本表中划入“其他”统计项名下。 Note: Statistics in the table refer to the number of trademark applications originated from Mainland China via the Madrid System received at the CNIPA.Neither Hong Kong nor Macao is the contracting member of the Madrid System. Hence, if applicants from Hong Kong or Macao try to file trademark applications via the Madrid System on line, such applications will not be accepted by the Office, whereas the statistics on such unaccepted applications will be mounted into the line of 'Others'.","注：本表统计我局收到的中国申请人马德里商标国际注册申请情况。中国香港、澳门不是马德里体系缔约方，如香港、澳门申请人在网上提交马德里申请，将不予受理，在本表中划入“其他”统计项名下。 Note: Statistics in the table refer to the number of trademark applications originated from Mainland China via the Madrid System received at the CNIPA.Neither Hong Kong nor Macao is the contracting member of the Madrid System. Hence, if applicants from Hong Kong or Macao try to file trademark applications via the Madrid System on line, such applications will not be accepted by the Office, whereas the statistics on such unaccepted applications will be mounted into the line of 'Others'.","注：本表统计我局收到的中国申请人马德里商标国际注册申请情况。中国香港、澳门不是马德里体系缔约方，如香港、澳门申请人在网上提交马德里申请，将不予受理，在本表中划入“其他”统计项名下。 Note: Statistics in the table refer to the number of trademark applications originated from Mainland China via the Madrid System received at the CNIPA.Neither Hong Kong nor Macao is the contracting member of the Madrid System. Hence, if applicants from Hong Kong or Macao try to file trademark applications via the Madrid System on line, such applications will not be accepted by the Office, whereas the statistics on such unaccepted applications will be mounted into the line of 'Others'.","注：本表统计我局收到的中国申请人马德里商标国际注册申请情况。中国香港、澳门不是马德里体系缔约方，如香港、澳门申请人在网上提交马德里申请，将不予受理，在本表中划入“其他”统计项名下。 Note: Statistics in the table refer to the number of trademark applications originated from Mainland China via the Madrid System received at the CNIPA.Neither Hong Kong nor Macao is the contracting member of the Madrid System. Hence, if applicants from Hong Kong or Macao try to file trademark applications via the Madrid System on line, such applications will not be accepted by the Office, whereas the statistics on such unaccepted applications will be mounted into the line of 'Others'."
