,,A部 Section A 人类生活必需 Human necessities,B部 Section B 作业、运输 Performing operations; Transporting,C部 Section C 化学、冶金 Chemistry; Metallurgy,D部 Section D 纺织、造纸 Textiles; Paper,E部 Section E 固定建筑物 Fixed constructions,F部 Section F 机械工程；照明；加热；武器；爆破 Mechanical engineering; Lighting; Heating; Weapons; Blasting,G部 Section G 物  理 Physics,H部 Section H 电  学 Electricity,A----H 合  计 Total
,,72442,144203,116729,11440,29736,46147,221608,156042,798347
,国家和地区 Countries and Regions,,,,,,,,,
安道尔,AD,0,0,0,0,0,2,0,0,2
阿联酋,AE,4,6,6,0,0,1,0,0,17
安提瓜和巴布达,AG,0,0,0,0,0,1,8,10,19
阿根廷,AR,1,0,2,0,1,0,1,0,5
奥地利,AT,80,194,105,20,41,103,61,107,711
澳大利亚,AU,148,72,37,0,24,34,37,54,406
巴巴多斯,BB,8,19,0,0,0,15,31,46,119
比利时,BE,57,107,150,14,8,71,67,60,534
保加利亚,BG,0,2,1,0,0,0,2,1,6
巴林,BH,0,1,2,0,0,0,0,0,3
百慕大,BM,8,0,4,0,0,0,19,8,39
文莱,BN,0,0,0,0,0,0,0,1,1
巴西,BR,18,15,14,1,3,1,4,6,62
巴哈马,BS,1,0,0,0,0,0,2,0,3
白俄罗斯,BY,0,2,0,0,0,0,0,0,2
伯利兹,BZ,0,1,0,0,0,0,0,1,2
加拿大,CA,98,128,77,2,51,56,102,128,642
刚果( 金 ),CD,0,1,0,0,0,0,0,0,1
瑞士,CH,666,530,460,64,41,140,522,332,2755
智利,CL,2,6,5,0,0,1,0,0,14
中国,CN,60191,123732,103878,10088,27967,36644,201519,131572,695591
哥伦比亚,CO,0,0,0,0,1,0,0,0,1
哥斯达黎加,CR,1,0,0,0,0,0,0,0,1
古巴,CU,1,0,1,0,0,0,0,0,2
塞浦路斯,CY,5,0,2,1,1,0,6,5,20
捷克,CZ,4,3,2,7,1,6,4,15,42
德国,DE,1003,3219,1189,226,282,1890,1535,1904,11248
丹麦,DK,147,77,114,6,13,151,26,103,637
爱沙尼亚,EE,0,3,0,0,0,0,1,0,4
西班牙,ES,49,64,36,0,18,25,22,16,230
芬兰,FI,38,140,70,46,12,34,79,249,668
法国,FR,505,875,425,29,47,549,435,483,3348
英国,GB,311,270,250,14,38,174,353,245,1655
根西岛,GG,1,1,0,0,0,0,0,0,2
直布罗陀,GI,1,0,0,0,0,0,0,1,2
希腊,GR,3,16,1,0,0,2,1,0,23
克罗地亚,HR,0,1,1,1,0,0,1,0,4
匈牙利,HU,1,1,6,0,1,1,6,2,18
印度尼西亚,ID,2,0,0,0,0,0,0,0,2
爱尔兰,IE,65,28,16,0,2,46,88,111,356
以色列,IL,245,74,39,2,4,17,116,67,564
马恩岛,IM,0,0,1,0,0,0,0,0,1
印度,IN,26,38,39,8,1,23,26,18,179
伊拉克,IQ,0,0,0,0,0,0,0,1,1
冰岛,IS,6,1,1,0,0,0,1,1,10
意大利,IT,234,436,145,37,53,179,124,125,1333
日本,JP,2443,7523,4565,460,477,3138,6377,8318,33301
柬埔寨,KH,0,0,0,0,0,2,0,0,2
韩国,KR,808,1136,1401,142,87,752,2548,3590,10464
开曼群岛,KY,12,15,13,2,2,3,1082,693,1822
哈萨克斯坦,KZ,0,0,1,0,0,0,0,0,1
老挝,LA,0,0,0,0,1,0,0,0,1
黎巴嫩,LB,0,0,0,0,0,0,1,0,1
列支敦士登,LI,17,83,12,0,1,10,3,12,138
斯里兰卡,LK,0,1,0,0,0,0,0,0,1
立陶宛,LT,3,1,3,0,0,1,0,0,8
卢森堡,LU,22,40,40,3,3,11,23,11,153
拉脱维亚,LV,0,0,0,0,0,0,1,0,1
摩洛哥,MA,2,0,0,0,0,0,0,0,2
摩纳哥,MC,2,0,1,0,0,0,1,0,4
马绍尔群岛,MH,0,0,0,0,0,0,0,2,2
马里,ML,1,0,1,0,0,0,0,1,3
马耳他,MT,6,4,1,0,0,0,2,1,14
毛里求斯,MU,1,0,1,0,0,0,0,0,2
墨西哥,MX,6,7,10,0,1,0,2,0,26
马来西亚,MY,7,4,9,0,1,2,2,1,26
纳米比亚,,0,1,0,0,0,0,0,0,1
荷兰,NL,551,235,358,30,33,97,436,357,2097
挪威,NO,37,73,34,1,19,17,37,22,240
新西兰,NZ,63,12,5,1,5,7,7,11,111
巴拿马,PA,0,0,0,0,0,0,1,0,1
秘鲁,PE,0,0,0,0,0,1,0,0,1
菲律宾,PH,0,0,0,0,0,0,0,4,4
波兰,PL,12,12,6,0,2,9,4,3,48
葡萄牙,PT,17,3,11,0,0,1,5,5,42
卡塔尔,QA,1,0,0,0,0,0,0,0,1
罗马尼亚,RO,0,2,0,0,0,0,0,1,3
塞尔维亚,RS,3,1,0,0,0,0,0,0,4
俄罗斯,RU,9,18,26,0,6,15,22,19,115
沙特阿拉伯,SA,0,19,34,1,25,12,23,7,121
塞舌尔,SC,1,0,0,0,0,0,0,1,2
瑞典,SE,205,405,99,39,65,227,169,734,1943
新加坡,SG,62,45,49,2,11,17,148,297,631
斯洛文尼亚,SI,5,3,0,1,1,3,1,4,18
斯洛伐克,SK,0,3,1,1,1,1,1,0,8
圣马力诺,SM,0,2,0,0,0,0,0,0,2
泰国,TH,3,5,17,1,0,4,12,6,48
土耳其,TR,9,15,1,8,3,8,6,9,59
乌克兰,UA,1,2,0,0,0,0,1,0,4
