,,Total,Service,Non-service
,,77116,73323,3793
,地区 Regions,,,
天津,Tianjin,41940,39734,2206
河北,Hebei,68184,57899,10285
山西,Shanxi,20772,16906,3866
内蒙古,Inner Mongolia,19685,15558,4127
辽宁,Liaoning,51536,45724,5812
吉林,Jilin,19077,17043,2034
黑龙江,Heilongjiang,20798,13099,7699
上海,Shanghai,83888,81784,2104
江苏,Jiangsu,327790,318376,9414
浙江,Zhejiang,228009,216470,11539
安徽,Anhui,107317,101080,6237
福建,Fujian,74275,71395,2880
江西,Jiangxi,33490,29986,3504
山东,Shandong,205951,178241,27710
河南,Henan,95545,88359,7186
湖北,Hubei,105670,100634,5036
湖南,Hunan,46404,42137,4267
广东,Guangdong,374150,355479,18671
广西,Guangxi,25564,21346,4218
海南,Hainan,7601,7028,573
重庆,Chongqing,40734,38445,2289
四川,Sichuan,75767,69785,5982
贵州,Guizhou,18349,14357,3992
云南,Yunnan,28609,26265,2344
西藏,Tibet,1826,1686,140
陕西,Shaanxi,46960,41555,5405
甘肃,Gansu,17046,13205,3841
青海,Qinghai,4436,3369,1067
宁夏,Ningxia,10426,9526,900
新疆,Xinjiang,14964,12675,2289
台湾,Taiwan,3723,2897,826
香港,Hong Kong,692,568,124
澳门,Macao,63,33,30
广州,Guangzhou,60462,56684,3778
长春,Changchun,13737,12912,825
武汉,Wuhan,51752,49625,2127
南京,Nanjing,43609,41977,1632
杭州,Hangzhou,62530,59768,2762
西安,Xi'an,32905,30079,2826
济南,Jinan,39543,35710,3833
沈阳,Shenyang,18797,16899,1898
成都,Chengdu,42158,39869,2289
大连,Dalian,16488,15557,931
厦门,Xiamen,19356,18868,488
哈尔滨,Harbin,11755,8167,3588
深圳,Shenzhen,120312,117327,2985
青岛,Qingdao,46665,44535,2130
宁波,Ningbo,35945,34365,1580
新疆兵团,Xinjiang Bingtuan,1949,1737,212
