,,2021 年,2022 年,2021 年,2022 年,2021 年,2022 年
,,641220,485330,427911,387204,2578614,2908053
,地区  Regions,,,,,,
天津,Tianjin,95011,71347,67921,54955,352692,399652
河北,Hebei,282347,232623,239842,195541,1063792,1245125
山西,Shanxi,89251,73459,69498,57184,289394,342608
内蒙古,Inner Mongolia,75793,66468,58946,53232,295125,343184
辽宁,Liaoning,132718,112039,103652,86711,556582,631750
吉林,Jilin,79358,66140,61471,52747,309803,356321
黑龙江,Heilongjiang,96990,83689,77776,65721,392827,451792
上海,Shanghai,559352,403117,420985,350704,2117136,2427452
江苏,Jiangsu,590311,480272,507784,398631,2335946,2685045
浙江,Zhejiang,837586,642028,748628,559986,3675052,4161116
安徽,Anhui,287123,243320,254033,195276,1011461,1189531
福建,Fujian,500458,391137,446895,327483,1989159,2277564
江西,Jiangxi,181052,145376,172954,120979,671642,782781
山东,Shandong,545189,464975,465216,373687,2057493,2404114
河南,Henan,429656,324474,389068,280931,1489689,1746409
湖北,Hubei,220348,193549,181590,151030,833494,970111
湖南,Hunan,244563,196093,211056,162029,902594,1048144
广东,Guangdong,1738500,1369943,1437978,1143878,6766377,7795886
广西,Guangxi,121037,103705,97297,78165,389044,461430
海南,Hainan,70885,66937,38277,43976,160278,203646
重庆,Chongqing,159051,131682,128539,104609,694043,782071
四川,Sichuan,353261,289996,282109,230862,1281664,1492127
贵州,Guizhou,170048,136293,97189,91031,362645,449518
云南,Yunnan,149049,133967,113873,99516,538604,627702
西藏,Tibet,14180,9899,9889,8661,47472,55810
陕西,Shaanxi,169668,147629,142766,108603,620721,714827
甘肃,Gansu,43494,39544,34945,30104,157464,185375
青海,Qinghai,15091,13148,13179,11028,60756,70421
宁夏,Ningxia,24815,21697,18210,16072,84299,99290
新疆,Xinjiang,102382,73657,62485,55654,279325,327518
台湾,Taiwan,13068,9855,11211,8785,182042,183308
香港,Hong Kong,157963,79068,150987,95456,766806,812605
澳门,Macao,1857,1551,1198,1267,8762,9813
广州,Guangzhou,485618,367723,395000,310356,1881904,2160076
长春,Changchun,39168,33287,29116,26684,145236,175147
武汉,Wuhan,110050,88815,81976,70022,410214,472269
南京,Nanjing,113439,93092,90825,74265,428951,497031
杭州,Hangzhou,276743,213107,217131,177843,1025618,1183264
西安,Xi'an,102887,92078,81879,65503,379496,435441
济南,Jinan,89643,73042,72691,60466,331760,386000
沈阳,Shenyang,48095,41431,39309,31777,213604,240526
成都,Chengdu,193723,153044,168488,124574,771167,876697
大连,Dalian,32864,28066,23911,21104,137748,156057
厦门,Xiamen,116262,87963,103738,77021,489933,556365
哈尔滨,Harbin,50799,45281,41442,34794,208781,240007
深圳,Shenzhen,574780,449041,464393,370044,2165693,2500626
青岛,Qingdao,105810,90392,87593,72325,391532,457675
宁波,Ningbo,82368,72639,78333,61015,401084,455133
