,,2021 年,2022 年
,,299,335
,地区 Regions,,
天津,Tianjin,41,119
河北,Hebei,198,488
山西,Shanxi,7,3
内蒙古,Inner Mongolia,17,7
辽宁,Liaoning,13,21
吉林,Jilin,9,24
黑龙江,Heilongjiang,10,5
上海,Shanghai,424,477
江苏,Jiangsu,890,690
浙江,Zhejiang,803,763
安徽,Anhui,277,174
福建,Fujian,377,287
江西,Jiangxi,74,23
山东,Shandong,408,345
河南,Henan,35,52
湖北,Hubei,80,87
湖南,Hunan,142,109
广东,Guangdong,1513,1551
广西,Guangxi,32,41
海南,Hainan,7,10
重庆,Chongqing,76,51
四川,Sichuan,78,60
贵州,Guizhou,15,39
云南,Yunnan,16,10
西藏,Tibet,21,3
陕西,Shaanxi,24,18
甘肃,Gansu,3,8
青海,Qinghai,1,0
宁夏,Ningxia,7,2
新疆,Xinjiang,9,8
台湾,Taiwan,20,13
其他,Other,2,4
广州,Guangzhou,266,395
长春,Changchun,8,13
武汉,Wuhan,49,62
南京,Nanjing,91,74
杭州,Hangzhou,177,162
西安,Xi'an,23,17
济南,Jinan,101,68
沈阳,Shenyang,5,6
成都,Chengdu,46,39
大连,Dalian,3,11
厦门,Xiamen,80,74
哈尔滨,Harbin,6,1
深圳,Shenzhen,818,774
青岛,Qingdao,36,74
宁波,Ningbo,115,123
"注：本表统计我局收到的中国申请人马德里商标国际注册申请情况。中国香港、澳门不是马德里体系缔约方，如香港、澳门申请人在网上提交马德里申请，将不予受理，在本表中划入  “ 其他 ” 统计项名下。 Note: Statistics in the  table  refer to the number of trademark applications originated from Mainland China via the Madrid  System  received at the CNIPA.Neither Hong Kong nor Macao is the contracting member of the Madrid  System.  Hence, if applicants from Hong Kong or Macao try to file trademark applications via the Madrid  System on line, such applications will not be accepted by the Office, whereas the statistics on  such  unaccepted applications will be mounted into the line of 'others'.","注：本表统计我局收到的中国申请人马德里商标国际注册申请情况。中国香港、澳门不是马德里体系缔约方，如香港、澳门申请人在网上提交马德里申请，将不予受理，在本表中划入  “ 其他 ” 统计项名下。 Note: Statistics in the  table  refer to the number of trademark applications originated from Mainland China via the Madrid  System  received at the CNIPA.Neither Hong Kong nor Macao is the contracting member of the Madrid  System.  Hence, if applicants from Hong Kong or Macao try to file trademark applications via the Madrid  System on line, such applications will not be accepted by the Office, whereas the statistics on  such  unaccepted applications will be mounted into the line of 'others'.","注：本表统计我局收到的中国申请人马德里商标国际注册申请情况。中国香港、澳门不是马德里体系缔约方，如香港、澳门申请人在网上提交马德里申请，将不予受理，在本表中划入  “ 其他 ” 统计项名下。 Note: Statistics in the  table  refer to the number of trademark applications originated from Mainland China via the Madrid  System  received at the CNIPA.Neither Hong Kong nor Macao is the contracting member of the Madrid  System.  Hence, if applicants from Hong Kong or Macao try to file trademark applications via the Madrid  System on line, such applications will not be accepted by the Office, whereas the statistics on  such  unaccepted applications will be mounted into the line of 'others'.","注：本表统计我局收到的中国申请人马德里商标国际注册申请情况。中国香港、澳门不是马德里体系缔约方，如香港、澳门申请人在网上提交马德里申请，将不予受理，在本表中划入  “ 其他 ” 统计项名下。 Note: Statistics in the  table  refer to the number of trademark applications originated from Mainland China via the Madrid  System  received at the CNIPA.Neither Hong Kong nor Macao is the contracting member of the Madrid  System.  Hence, if applicants from Hong Kong or Macao try to file trademark applications via the Madrid  System on line, such applications will not be accepted by the Office, whereas the statistics on  such  unaccepted applications will be mounted into the line of 'others'."
