,,Invention,Invention,Invention,Utility Model,Utility Model,Utility Model
,,Sub-total,Domestic,Foreign,Sub-total,Domestic,Foreign
,分 类 Classification,,,,,,
合计 Total,合计 Total,920797,819234,101563,2090331,2084664,5667
A部 Section A,A部 Section A,77199,67249,9950,281358,280175,1183
A01,农业；林业；畜牧业；狩猎；诱捕；捕鱼,15654,14806,848,57869,57842,27
A01,Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing,,,,,,
A21,焙烤；制作或处理面团的设备；焙烤用面团,567,539,28,2742,2739,3
A21,Baking; Equipment For Making Or Processing Doughs; Doughs For Baking,,,,,,
A22,屠宰；肉品处理；家禽或鱼的加工,453,420,33,2433,2432,1
A22,Butchering; Meat Treatment; Processing Poultry Or Fish,,,,,,
A23,其他类不包含的食品或食料；及其处理,5163,4932,231,10222,10215,7
A23,"Foods Or Foodstuffs; Treatment Thereof, Not Covered By Other Classes",,,,,,
A24,烟草；雪茄烟；纸烟；模拟吸烟装置；吸烟者用品,1702,1319,383,6603,6453,150
A24,Tobacco; Cigars; Cigarettes; Simulated Smoking Devices; Smokers Requisites,,,,,,
A41,服装,630,535,95,7759,7730,29
A41,Wearing Apparel,,,,,,
A42,帽类制品,112,89,23,1385,1382,3
A42,Headwear,,,,,,
A43,鞋类,456,307,149,5233,5223,10
A43,Footwear,,,,,,
A44,服饰缝纫用品；珠宝,425,327,98,2302,2281,21
A44,Haberdashery; Jewellery,,,,,,
A45,手携物品或旅行品,633,467,166,6683,6652,31
A45,Hand Or Travelling Articles,,,,,,
A46,刷类制品,157,107,50,1038,1029,9
A46,Brushware,,,,,,
A47,家具；家庭用的物品或设备；咖啡磨；香料磨；一般吸尘器,7655,6815,840,57534,57309,225
A47,Furniture; Domestic Articles Or Appliances; Coffee Mills; Spice Mills; Suction Cleaners In General,,,,,,
A61,医学或兽医学；卫生学,37982,31443,6539,100835,100280,555
A61,Medical Or Veterinary Science; Hygiene,,,,,,
A62,救生；消防,1581,1472,109,6558,6541,17
A62,Life-Saving; Fire-Fighting,,,,,,
A63,运动；游戏；娱乐活动,4029,3671,358,12162,12067,95
A63,Sports; Games; Amusements,,,,,,
B部 Section B,B部 Section B,168602,150254,18348,818085,816908,1177
B01,一般的物理或化学的方法或装置,23390,22053,1337,106195,106132,63
B01,Physical Or Chemical Processes Or Apparatus In General,,,,,,
B02,破碎、磨粉或粉碎；谷物碾磨的预处理,3257,3183,74,22160,22145,15
B02,"Crushing, Pulverising, Or Disintegrating; Preparatory Treatment Of Grain For Milling",,,,,,
B03,用液体或用风力摇床或风力跳汰机分离固体物料；从固体物料或流体中分离固体物料的磁或静电分离；高压电场分离,1009,963,46,3946,3940,6
B03,Separation Of Solid Materials Using Liquids Or Using Pneumatic Tables Or Jigs; Magnetic Or Electrostatic Separation Of Solid Materials From Solid Materials Or Fluids; Separation By High-Voltage Electric Fields,,,,,,
B04,用于实现物理或化学工艺过程的离心装置或离心机,343,301,42,2184,2184,0
B04,Centrifugal Apparatus Or Machines For Carrying-Out Physical Or Chemical Processes,,,,,,
B05,一般喷射或雾化；对表面涂覆流体的一般方法,4515,4139,376,26343,26303,40
B05,"Spraying Or Atomising In General; Applying Fluent Materials To Surfaces, In General",,,,,,
B06,一般机械振动的发生或传递,139,93,46,156,152,4
B06,Generating Or Transmitting Mechanical Vibrations In General,,,,,,
B07,将固体从固体中分离；分选,2921,2853,68,19443,19441,2
B07,Separating Solids From Solids; Sorting,,,,,,
B08,清洁,4219,4120,99,27349,27323,26
B08,Cleaning,,,,,,
B09,固体废物的处理；被污染土壤的再生,1646,1617,29,3482,3480,2
B09,Disposal Of Solid Waste; Reclamation Of Contaminated Soil,,,,,,
B21,基本上无切削的金属机械加工；金属冲压,7655,7290,365,39025,39009,16
B21,Mechanical Metal-Working Without Essentially Removing Material; Punching Metal,,,,,,
B22,铸造；粉末冶金,4881,4469,412,10590,10573,17
B22,Casting; Powder Metallurgy,,,,,,
B23,机床；其他类目中不包括的金属加工,19161,18233,928,90556,90502,54
B23,Machine Tools; Metal-Working Not Otherwise Provided For,,,,,,
B24,磨削；抛光,5254,5019,235,31670,31652,18
B24,Grinding; Polishing,,,,,,
B25,手动工具；轻便机动工具；手动器械的手柄；车间设备；机械手,8210,7272,938,39626,39572,54
B25,Hand Tools; Portable Power-Driven Tools; Handles For Hand Implements; Workshop Equipment; Manipulators,,,,,,
B26,手动切割工具；切割；切断,2312,2185,127,21126,21102,24
B26,Hand Cutting Tools; Cutting; Severing,,,,,,
B27,木材或类似材料的加工或保存；一般钉钉机或钉U形钉机,1450,1391,59,6502,6496,6
B27,Working Or Preserving Wood Or Similar Material; Nailing Or Stapling Machines In General,,,,,,
B28,加工水泥、黏土或石料,2423,2365,58,19006,19003,3
B28,"Working Cement, Clay, Or Stone",,,,,,
B29,塑料的加工；一般处于塑性状态物质的加工,8572,7514,1058,47554,47493,61
B29,Working Of Plastics; Working Of Substances In A Plastic State In General,,,,,,
B30,压力机,591,564,27,4894,4893,1
B30,Presses,,,,,,
B31,纸品或纸板或类似纸的方式加工的材料制品制作；纸或纸板或类似纸的方式加工的材料的加工,719,679,40,6421,6419,2
B31,"Making Articles Of Paper, Cardboard Or Material Worked In A Manner Analogous To Paper; Working Paper, Cardboard Or Material Worked In A Manner Analogous To Paper",,,,,,
B32,层状产品,2847,2125,722,8792,8782,10
