,,A部 Section A 人类生活必需 Human necessities,B部 Section B 作业、运输 Performing operations; Transporting,C部 Section C 化学、冶金 Chemistry; Metallurgy,D部 Section D 纺织、造纸 Textiles; Paper,E部 Section E 固定建筑物 Fixed constructions,F部 Section F 机械工程；照明；加热；武器；爆破 Mechanical engineering; Lighting; Heating; Weapons; Blasting,G部 Section G 物 理 Physics,H部 Section H 电 学 Electricity,A----H 合 计 Total
,,124125,277881,179757,16643,65534,93158,527025,286391,1570514
,国家和地区 Countries and Regions,,,,,,,,,
阿联酋,AE,4,3,1,0,1,3,0,1,13
安提瓜和巴布达,AG,1,0,0,0,0,0,21,12,34
安圭拉,AI,0,3,0,0,0,0,0,0,3
奥地利,AT,17,47,10,0,5,54,28,156,317
澳大利亚,AU,69,25,24,1,5,3,21,10,158
巴巴多斯,BB,5,48,0,0,0,3,102,74,232
比利时,BE,36,34,33,4,5,32,26,42,212
百慕大,BM,0,1,1,0,0,0,1,1,4
巴西,BR,11,5,5,1,6,3,55,31,117
加拿大,CA,43,28,32,1,25,16,56,74,275
刚果（金）,CD,0,4,2,0,0,0,1,0,7
瑞士,CH,214,199,79,27,11,75,420,294,1319
智利,CL,1,0,1,0,0,0,0,0,2
中国,CN,118226,266146,175463,16149,64822,88845,510728,263761,1504140
哥伦比亚,CO,1,0,0,0,0,0,0,0,1
哥斯达黎加,CR,1,0,0,0,0,0,0,0,1
塞浦路斯,CY,0,1,0,0,0,0,0,8,9
捷克,CZ,1,1,1,0,0,3,5,2,13
德国,DE,395,1792,272,84,116,856,1523,1542,6580
丹麦,DK,54,17,30,2,16,61,27,79,286
阿尔及利亚,DZ,0,1,0,0,1,0,0,0,2
爱沙尼亚,EE,0,2,0,0,0,1,0,1,4
埃及,EG,0,0,0,0,0,0,1,0,1
西班牙,ES,14,30,9,0,2,44,9,21,129
埃塞俄比亚,ET,0,0,1,0,0,0,0,0,1
芬兰,FI,3,32,14,13,3,10,37,182,294
法国,FR,168,337,77,7,5,139,251,354,1338
英国,GB,201,119,76,7,4,52,246,139,844
希腊,GR,0,0,0,0,1,0,0,0,1
克罗地亚,HR,1,2,0,0,0,1,1,3,8
匈牙利,HU,1,0,1,0,0,0,2,0,4
印度尼西亚,ID,1,0,0,0,0,1,1,0,3
爱尔兰,IE,37,5,10,0,1,5,38,74,170
以色列,IL,158,34,11,1,1,5,123,81,414
印度,IN,6,8,3,1,1,3,5,12,39
意大利,IT,60,178,29,20,32,74,111,157,661
日本,JP,1239,4654,1465,197,161,1176,4843,6405,20140
柬埔寨,KH,0,1,0,0,0,1,1,0,3
韩国,KR,387,1254,775,53,58,349,3095,6734,12705
开曼群岛,KY,334,13,21,1,1,1,175,74,620
老挝,LA,0,0,0,0,0,0,1,0,1
列支敦士登,LI,16,23,2,0,0,1,1,8,51
卢森堡,LU,9,16,4,0,4,0,12,32,77
拉脱维亚,LV,1,0,0,0,0,0,0,0,1
摩纳哥,MC,0,0,0,0,0,0,1,0,1
马绍尔群岛,MH,5,0,0,0,0,0,0,0,5
马里,ML,1,0,3,0,0,0,1,2,7
马耳他,MT,1,2,0,0,0,0,0,2,5
毛里求斯,MU,2,1,0,0,0,0,0,0,3
墨西哥,MX,3,0,6,0,0,0,0,1,10
马来西亚,MY,4,4,4,0,1,3,15,9,40
荷兰,NL,87,64,113,7,6,12,222,427,938
挪威,NO,5,8,8,0,1,1,2,3,28
新西兰,NZ,48,3,2,2,2,3,4,5,69
秘鲁,PE,0,1,0,0,0,1,0,0,2
菲律宾,PH,0,0,0,0,0,0,0,5,5
巴基斯坦,PK,0,1,0,0,0,0,0,0,1
波兰,PL,0,5,0,0,0,1,3,3,12
葡萄牙,PT,1,0,0,0,0,0,1,3,5
俄罗斯,RU,4,4,5,0,0,1,9,5,28
沙特阿拉伯,SA,0,1,3,0,1,0,1,0,6
塞舌尔,SC,0,0,0,0,1,0,1,0,2
瑞典,SE,48,198,32,6,10,181,141,231,847
新加坡,SG,68,46,26,3,4,7,310,497,961
斯洛文尼亚,SI,2,0,0,0,0,1,1,2,6
泰国,TH,2,1,0,0,0,0,8,11,22
土耳其,TR,3,2,1,0,0,0,0,0,6
美国,US,2117,2466,1095,54,190,1126,4331,4812,16191
英属维尔京群岛,VG,7,1,2,1,29,1,0,0,41
越南,VN,1,1,0,0,1,1,1,0,5
萨摩亚,WS,1,8,2,1,0,2,6,9,29
南非,ZA,0,1,2,0,1,0,0,0,4
赞比亚,ZM,0,0,1,0,0,0,0,0,1
