,,申请量 Application Number,注册量 Registration Number
,,7370709,5007395
,年份 Years,,
合计 Total,2019,7837441,6405840
合计 Total,2020,9347568,5760652
合计 Total,2021,9450507,7738947
合计 Total,2022,7515961,6177170
合计 Total,2023,7188336,4382714
国内 Domestic,1979-2017,25648938,15641649
国内 Domestic,2018,7127032,4796851
国内 Domestic,2019,7582356,6177791
国内 Domestic,2020,9116454,5576545
国内 Domestic,2021,9192675,7545358
国内 Domestic,2022,7304007,6001698
国内 Domestic,2023,6988704,4247938
国外 Foreign,1979-2017,2193345,1659271
国外 Foreign,2018,243677,210544
国外 Foreign,2019,255085,228049
国外 Foreign,2020,231114,184107
国外 Foreign,2021,257832,193589
国外 Foreign,2022,211954,175472
国外 Foreign,2023,199632,134776
