,,2018年,2022年,2023年
,,347,335,283
,地区Regions,,,
天津,Tianjin,41,119,80
河北,Hebei,115,488,400
山西,Shanxi,4,3,15
内蒙古,Inner Mongolia,66,7,18
辽宁,Liaoning,32,21,34
吉林,Jilin,8,24,8
黑龙江,Heilongjiang,9,5,17
上海,Shanghai,271,477,548
江苏,Jiangsu,759,690,623
浙江,Zhejiang,601,763,868
安徽,Anhui,190,174,137
福建,Fujian,249,287,326
江西,Jiangxi,22,23,78
山东,Shandong,2489,345,392
河南,Henan,28,52,78
湖北,Hubei,65,87,85
湖南,Hunan,168,109,91
广东,Guangdong,1151,1551,1776
广西,Guangxi,16,41,32
海南,Hainan,1,10,7
重庆,Chongqing,59,51,55
四川,Sichuan,92,60,89
贵州,Guizhou,13,39,26
云南,Yunnan,14,10,12
西藏,Tibet,6,3,2
陕西,Shaanxi,26,18,49
甘肃,Gansu,13,8,4
青海,Qinghai,1,0,1
宁夏,Ningxia,1,2,2
新疆,Xinjiang,8,8,29
台湾,Taiwan,34,13,23
其他,Other,4,4,8
广州,Guangzhou,243,395,390
长春,Changchun,5,13,3
武汉,Wuhan,47,62,42
南京,Nanjing,186,74,70
杭州,Hangzhou,142,162,233
西安,Xi'an,19,17,42
济南,Jinan,149,68,32
沈阳,Shenyang,9,6,10
成都,Chengdu,63,39,47
大连,Dalian,11,11,16
厦门,Xiamen,48,74,100
哈尔滨,Harbin,4,1,8
深圳,Shenzhen,502,774,802
青岛,Qingdao,1132,74,71
宁波,Ningbo,79,123,114
"注：本表统计我局收到的中国申请人马德里商标国际注册申请情况。中国香港、澳门不是马德里体系缔约方，如香港、澳门申请人在网上提交马德里申请，将不予受理，在本表中划入“其他”统计项名下。 Note: Statistics in the table refer to the number of trademark applications originated from Mainland China via the Madrid System received at the CNIPA.Neither Hong Kong nor Macao is the contracting member of the Madrid System. Hence, if applicants from Hong Kong or Macao try to file trademark applications via the Madrid System on line, such applications will not be accepted by the Office, whereas the statistics on such unaccepted applications will be mounted into the line of 'others'.","注：本表统计我局收到的中国申请人马德里商标国际注册申请情况。中国香港、澳门不是马德里体系缔约方，如香港、澳门申请人在网上提交马德里申请，将不予受理，在本表中划入“其他”统计项名下。 Note: Statistics in the table refer to the number of trademark applications originated from Mainland China via the Madrid System received at the CNIPA.Neither Hong Kong nor Macao is the contracting member of the Madrid System. Hence, if applicants from Hong Kong or Macao try to file trademark applications via the Madrid System on line, such applications will not be accepted by the Office, whereas the statistics on such unaccepted applications will be mounted into the line of 'others'.","注：本表统计我局收到的中国申请人马德里商标国际注册申请情况。中国香港、澳门不是马德里体系缔约方，如香港、澳门申请人在网上提交马德里申请，将不予受理，在本表中划入“其他”统计项名下。 Note: Statistics in the table refer to the number of trademark applications originated from Mainland China via the Madrid System received at the CNIPA.Neither Hong Kong nor Macao is the contracting member of the Madrid System. Hence, if applicants from Hong Kong or Macao try to file trademark applications via the Madrid System on line, such applications will not be accepted by the Office, whereas the statistics on such unaccepted applications will be mounted into the line of 'others'.","注：本表统计我局收到的中国申请人马德里商标国际注册申请情况。中国香港、澳门不是马德里体系缔约方，如香港、澳门申请人在网上提交马德里申请，将不予受理，在本表中划入“其他”统计项名下。 Note: Statistics in the table refer to the number of trademark applications originated from Mainland China via the Madrid System received at the CNIPA.Neither Hong Kong nor Macao is the contracting member of the Madrid System. Hence, if applicants from Hong Kong or Macao try to file trademark applications via the Madrid System on line, such applications will not be accepted by the Office, whereas the statistics on such unaccepted applications will be mounted into the line of 'others'.","注：本表统计我局收到的中国申请人马德里商标国际注册申请情况。中国香港、澳门不是马德里体系缔约方，如香港、澳门申请人在网上提交马德里申请，将不予受理，在本表中划入“其他”统计项名下。 Note: Statistics in the table refer to the number of trademark applications originated from Mainland China via the Madrid System received at the CNIPA.Neither Hong Kong nor Macao is the contracting member of the Madrid System. Hence, if applicants from Hong Kong or Macao try to file trademark applications via the Madrid System on line, such applications will not be accepted by the Office, whereas the statistics on such unaccepted applications will be mounted into the line of 'others'."
